episode,reward
0,-106.28445975615487
1,-81.53340176840575
2,-36.442019586329
3,-14.068887943942627
4,11.706091137639891
5,11.706091137639891
6,-8.198354636350185
7,12.028012785853102
8,11.706091137639891
9,-8.198354636350185
10,12.028012785853102
11,-8.51229095977559
12,-49.13997626129077
13,-36.491705338563264
14,-37.095988858293055
15,-112.3968011609421
16,-112.22367539532824
17,-112.39668338477682
18,-110.77051721743408
19,-111.77673261910196
20,-112.3968011609421
21,-112.22367539532824
22,-112.39668338477682
23,-110.77051721743408
24,-111.77673261910196
25,-112.40591065832184
26,-112.10065013753498
27,-111.92861938056338
28,-112.06106611448212
29,-111.527941472852
30,-111.57978324356382
31,-112.3968011609421
32,-112.22367539532824
33,-112.39668338477682
34,-110.77051721743408
35,-111.77673261910196
36,-112.40591065832184
37,-112.10065013753498
38,-111.92861938056338
39,-112.06106611448212
40,-111.527941472852
41,-111.57978324356382
42,-112.6799244027208
43,-112.26016118397268
44,-112.2467318226036
45,-111.73063138543624
46,-112.2077521412598
47,-112.3968011609421
48,-112.22367539532824
49,-112.39668338477682
50,-110.77051721743408
51,-111.77673261910196
52,-112.40591065832184
53,-112.10065013753498
54,-111.92861938056338
55,-112.06106611448212
56,-111.527941472852
57,-111.57978324356382
58,-112.6799244027208
59,-112.26016118397268
60,-112.2467318226036
61,-111.73063138543624
62,-112.2077521412598
63,-113.01439691821912
64,-112.32509729776608
65,-112.34686462110822
66,-112.2128498717294
67,-338.78695520842246
68,-273.0193705051653
69,-147.5013790460813
70,-150.3250949261035
71,-172.59759129292644
72,-179.7184824702706
73,-338.78695520842246
74,-273.0193705051653
75,-147.5013790460813
76,-150.3250949261035
77,-172.59759129292644
78,-179.7184824702706
79,-416.5434170549254
80,-70.2019729075885
81,-57.00811176194356
82,-115.85499301357405
83,-141.25527019724245
84,-119.3923233500638
85,-123.4307937392418
86,-159.44139210016743
87,-141.3044753020336
88,-145.02116906250788
89,-176.6637361767796
90,-163.349728826692
91,-159.08833706334843
92,-150.23314232294177
93,-141.56571453981826
94,-117.60237592253664
95,-140.57953936007786
96,-125.5474070727806
97,-143.36201844256203
98,-132.93810472326595
99,-148.8477257394095
100,-136.64532467480336
101,-173.98303208373966
102,-159.46794666615676
103,44.57042127548188
104,-112.76161906283065
105,-140.024698410418
106,-135.85290069844422
107,-134.76320065068393
108,-144.84347905207625
109,-134.88247604738837
110,-152.18478951575736
111,-167.98032001542458
112,-100.0
113,-138.40117004406983
114,-142.43017046983994
115,-165.51304409490024
116,29.245271686526827
117,-308.4497341257659
118,-266.6338980439265
119,-216.6571699142849
120,-157.21643942345338
121,-146.02500453086145
122,-149.9146623439893
123,-155.34429115358807
124,-169.51183818413855
125,-156.3174002955177
126,-135.50028204875795
127,-151.07009178064837
128,-111.59618917582118
129,-146.44526060322383
130,-138.22572873680986
131,-119.78791944246784
132,32.1225634633481
133,-140.68716213310026
134,-146.824921640977
135,-182.767571289422
136,-132.8144517104442
137,-130.81362695824984
138,-113.50823939943749
139,-128.66575743051973
140,-114.51673044007303
141,-147.6116194185866
142,34.104160693009135
143,-201.86718171343944
144,43.58365568470921
145,30.0332785560004
146,-131.94253639493533
147,-189.63940101059933
148,-148.77822078058043
149,-127.6850567070745
150,-120.16710166956804
151,-210.97326785516333
152,-150.43306504084936
153,-135.39973314581331
154,-127.03859857874384
155,-160.0760321788348
156,-180.407797443428
157,-179.1759366949767
158,-113.6615271184384
159,-184.93585900666383
160,-170.16397198137508
161,-169.4003587140468
162,-156.28410772144284
163,-172.419680892086
164,-127.14621518460262
165,-184.2786051283233
166,-145.88779000048123
167,-160.6306211965739
168,-137.98267489071657
169,-191.3787034082521
170,-135.76648194596646
171,-149.85387476780178
172,-188.6311715975205
173,-194.5843269894576
174,-124.44459968490662
175,-163.6121349400148
176,-144.01852544634298
177,21.614271840640043
178,-150.25616232830757
179,-126.37630331778628
180,28.109798293449696
181,-135.13194478164905
182,-139.10103896264357
183,-158.82749246358
184,-161.0071047918094
185,-165.87916202413675
186,-156.27484654056713
187,-217.9727294587853
188,-200.9798199824669
189,-167.3336089676266
190,-158.52305318452082
191,-32.18546053821461
192,-174.7285798194653
193,-166.98364145097884
194,-226.03905354858568
195,-230.42793553013968
196,-144.11741408052956
197,-108.47394814155376
198,41.645933883026046
199,67.8048598685003
200,-11.640911586292454
201,-215.51930525740696
202,-103.30720895165888
203,-159.4115997578939
204,-211.3999648759102
205,-39.70122881116595
206,-333.2662415690326
207,-144.98417048289537
208,-191.46865044873664
209,-119.13551532098654
210,-15.937535716305
211,-126.61602664721632
212,35.10010978533284
213,-39.747365775930135
214,-338.78695520842246
215,-273.0193705051653
216,-147.5013790460813
217,-150.3250949261035
218,-172.59759129292644
219,-179.7184824702706
220,-416.5434170549254
221,-70.2019729075885
222,-57.00811176194356
223,-115.85499301357405
224,-141.25527019724245
225,-119.3923233500638
226,-123.4307937392418
227,-159.44139210016743
228,-141.3044753020336
229,-145.02116906250788
230,-176.6637361767796
231,-163.349728826692
232,-159.08833706334843
233,-150.23314232294177
234,-141.56571453981826
235,-117.60237592253664
236,-140.57953936007786
237,-125.5474070727806
238,-143.36201844256203
239,-132.93810472326595
240,-148.8477257394095
241,-136.64532467480336
242,-173.98303208373966
243,-159.46794666615676
244,44.57042127548188
245,-112.76161906283065
246,-140.024698410418
247,-135.85290069844422
248,-134.76320065068393
249,-144.84347905207625
250,-134.88247604738837
251,-152.18478951575736
252,-167.98032001542458
