episode,critic2_loss
8,389.6780827840169
9,342.0022328694661
10,464.79795837402344
11,448.2641423543294
12,546.991221110026
13,559.7682444254557
14,466.94957478841144
15,536.3122609456381
16,407.4789326985677
17,589.3192392985026
18,452.11757405598956
19,500.0154622395833
20,489.2386220296224
21,684.6689656575521
22,471.6409174601237
23,508.89869384765626
24,649.5789693196615
25,607.7373860677084
26,682.6103668212891
27,726.0918426513672
28,648.263193766276
29,617.5543823242188
30,735.2427622477213
31,735.3870188395182
32,866.4600219726562
33,643.4594930013021
34,804.8633270263672
35,663.1756439208984
36,722.9209493001302
37,655.6085408528646
38,614.9143778483073
39,628.9419504801432
40,743.0989227294922
41,663.8409525553385
42,728.5630289713541
43,680.226328531901
44,681.5457255045573
45,632.9152272542318
46,523.9045155843099
47,685.2392374674479
48,564.0254516601562
49,651.1767730712891
50,654.1057014465332
51,693.0390455457899
52,638.0531582302517
53,607.4883694118923
